frame,detector,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps,x_bottom,center,line_pixels,error_direction
178,THRESH,left,-21.7361,-8.0856,0.33,33.5,0.4,66.9,0.0,19.4,-3317.77,160.00,8656,LEFT
179,THRESH,left,-24.5242,-14.6610,0.29,33.4,0.3,66.8,0.0,18.7,-3763.87,160.00,9305,LEFT
180,THRESH,left,-30.1975,-20.8756,0.23,33.4,0.3,66.7,0.0,18.0,-4671.60,160.00,9219,LEFT
181,THRESH,left,-29.2110,-24.2098,0.24,33.3,0.3,66.6,0.0,17.5,-4513.76,160.00,9251,LEFT
182,THRESH,left,1.0408,-14.1095,-76.24,51.9,0.2,0.0,100.0,16.9,326.53,160.00,579,RIGHT
183,THRESH,left,0.9755,-8.0755,-77.07,52.0,0.2,0.0,100.0,18.9,316.07,160.00,2000,RIGHT
184,THRESH,left,0.9593,-4.4616,-61.80,48.3,0.2,0.0,96.6,19.9,313.48,160.00,3636,RIGHT
185,THRESH,left,0.9762,-2.2865,-53.32,46.2,0.2,0.0,92.4,20.2,316.19,160.00,4022,RIGHT
186,THRESH,left,0.9756,-0.9817,-75.61,51.6,0.1,0.0,100.0,20.3,316.09,160.00,2051,RIGHT
187,THRESH,left,1.0104,-0.1848,-78.03,52.2,0.1,0.0,100.0,21.1,321.66,160.00,498,RIGHT
188,THRESH,left,-42.1741,-16.9806,0.17,33.1,0.1,66.3,0.0,22.6,-6587.86,160.00,8763,LEFT
189,THRESH,left,-47.8126,-29.3134,0.15,33.1,0.1,66.3,0.0,21.6,-7490.01,160.00,9132,LEFT
190,THRESH,left,-26.9852,-28.3821,0.26,33.1,0.1,66.3,0.0,20.7,-4157.63,160.00,8937,LEFT
191,THRESH,left,-42.4632,-34.0145,0.17,33.1,0.1,66.2,0.0,19.9,-6634.12,160.00,8420,LEFT
192,THRESH,left,-41.4180,-36.9759,0.17,33.1,0.1,66.2,0.0,19.2,-6466.89,160.00,8897,LEFT
193,THRESH,left,-46.0158,-40.5919,0.15,33.1,0.1,66.2,0.0,18.5,-7202.52,160.00,9096,LEFT
194,THRESH,left,-32.2174,-37.2421,0.22,33.1,0.0,66.2,0.0,17.9,-4994.78,160.00,8879,LEFT
195,THRESH,left,-33.1296,-35.5971,0.22,33.1,0.0,66.2,0.0,17.3,-5140.74,160.00,8447,LEFT
196,THRESH,left,-24.0011,-30.9587,0.30,33.1,0.0,66.2,0.0,16.8,-3680.17,160.00,8837,LEFT
197,THRESH,left,-23.5183,-27.9825,0.31,33.1,0.0,66.2,0.0,16.4,-3602.92,160.00,8700,LEFT
198,THRESH,left,-34.5271,-30.6003,0.22,33.1,0.0,66.2,0.0,16.0,-5364.33,160.00,8500,LEFT
199,THRESH,left,-27.6907,-29.4365,0.27,33.1,0.0,66.2,0.0,15.7,-4270.51,160.00,8886,LEFT
200,THRESH,left,-38.1900,-32.9379,0.20,33.1,0.0,66.1,0.0,15.3,-5950.40,160.00,8870,LEFT
201,THRESH,left,-42.9011,-36.9232,0.18,33.1,0.0,66.1,0.0,15.1,-6704.18,160.00,8599,LEFT
202,THRESH,left,-46.9422,-40.9308,0.16,33.1,0.0,66.1,0.0,14.8,-7350.75,160.00,8705,LEFT
203,THRESH,left,0.8835,-24.2051,69.98,50.1,0.0,0.0,100.0,14.6,301.35,160.00,1145,RIGHT
204,THRESH,left,0.8341,-14.1894,64.13,48.7,0.0,0.0,97.4,16.1,293.46,160.00,1998,RIGHT
205,THRESH,left,0.7061,-8.2312,41.69,43.2,0.0,0.0,86.4,17.0,272.97,160.00,3055,RIGHT
