timestamp,action,left_speed,right_speed
01:14:17,set_speed,0,0
01:14:17,stop,0,0
01:14:17,set_speed,17,65
01:14:17,set_speed,17,65
01:14:17,set_speed,17,65
01:14:17,set_speed,17,65
01:14:17,set_speed,18,65
01:14:17,set_speed,17,65
01:14:17,set_speed,17,65
01:14:17,set_speed,16,65
01:14:17,set_speed,16,65
01:14:18,set_speed,16,65
01:14:18,set_speed,16,65
01:14:18,set_speed,17,65
01:14:18,set_speed,18,65
01:14:18,set_speed,0,0
01:14:18,stop,0,0
01:14:18,set_speed,55,55
01:14:18,forward,55,55
01:14:18,set_speed,0,0
01:14:18,stop,0,0
01:14:18,set_speed,-65,65
01:14:18,set_speed,0,0
01:14:18,stop,0,0
01:14:18,set_speed,0,0
01:14:18,stop,0,0
01:14:18,set_speed,55,55
01:14:18,forward,55,55
01:14:18,set_speed,0,0
01:14:18,stop,0,0
01:14:18,set_speed,-65,65
01:14:18,set_speed,0,0
01:14:18,stop,0,0
01:14:19,set_speed,0,0
01:14:19,stop,0,0
01:14:19,set_speed,55,55
01:14:19,forward,55,55
01:14:19,set_speed,0,0
01:14:19,stop,0,0
01:14:19,set_speed,-65,65
01:14:19,set_speed,0,0
01:14:19,stop,0,0
01:14:19,set_speed,12,65
01:14:19,set_speed,12,65
01:14:19,set_speed,12,65
01:14:19,set_speed,12,65
01:14:19,set_speed,12,65
01:14:19,set_speed,12,65
01:14:19,set_speed,13,65
01:14:19,set_speed,0,0
01:14:19,stop,0,0
01:14:19,set_speed,55,55
01:14:19,forward,55,55
01:14:19,set_speed,0,0
01:14:19,stop,0,0
01:14:19,set_speed,-65,65
01:14:19,set_speed,0,0
01:14:19,stop,0,0
01:14:19,set_speed,0,0
01:14:19,stop,0,0
01:14:19,set_speed,55,55
01:14:19,forward,55,55
01:14:20,set_speed,0,0
01:14:20,stop,0,0
01:14:20,set_speed,-65,65
01:14:20,set_speed,0,0
01:14:20,stop,0,0
01:14:20,set_speed,0,0
01:14:20,stop,0,0
01:14:20,set_speed,55,55
01:14:20,forward,55,55
01:14:20,set_speed,0,0
01:14:20,stop,0,0
01:14:20,set_speed,-65,65
01:14:20,set_speed,0,0
01:14:20,stop,0,0
01:14:20,set_speed,0,0
01:14:20,stop,0,0
01:14:20,set_speed,55,55
01:14:20,forward,55,55
01:14:20,set_speed,0,0
01:14:20,stop,0,0
01:14:20,set_speed,-65,65
01:14:20,set_speed,-65,65
01:14:20,set_speed,-65,65
01:14:20,set_speed,-65,65
01:14:20,set_speed,-65,65
01:14:20,set_speed,0,0
01:14:20,stop,0,0
01:14:20,set_speed,0,0
01:14:20,stop,0,0
01:14:21,set_speed,55,55
01:14:21,forward,55,55
01:14:21,set_speed,0,0
01:14:21,stop,0,0
01:14:21,set_speed,-65,65
01:14:21,set_speed,0,0
01:14:21,stop,0,0
01:14:21,set_speed,0,0
01:14:21,stop,0,0
01:14:21,set_speed,55,55
01:14:21,forward,55,55
01:14:21,set_speed,0,0
01:14:21,stop,0,0
01:14:21,set_speed,-65,65
01:14:21,set_speed,0,0
01:14:21,stop,0,0
01:14:21,set_speed,0,0
01:14:21,stop,0,0
01:14:21,set_speed,55,55
01:14:21,forward,55,55
01:14:21,set_speed,0,0
01:14:21,stop,0,0
01:14:21,set_speed,-65,65
01:14:21,set_speed,0,0
01:14:21,stop,0,0
01:14:21,set_speed,0,0
01:14:21,stop,0,0
01:14:21,set_speed,55,55
01:14:21,forward,55,55
01:14:22,set_speed,0,0
01:14:22,stop,0,0
01:14:22,set_speed,-65,65
01:14:22,set_speed,0,0
01:14:22,stop,0,0
01:14:22,set_speed,0,0
01:14:22,stop,0,0
01:14:22,set_speed,55,55
01:14:22,forward,55,55
01:14:22,set_speed,0,0
01:14:22,stop,0,0
01:14:22,set_speed,-65,65
01:14:22,set_speed,0,0
01:14:22,stop,0,0
01:14:22,set_speed,0,0
01:14:22,stop,0,0
01:14:22,set_speed,55,55
01:14:22,forward,55,55
01:14:22,set_speed,0,0
01:14:22,stop,0,0
01:14:22,set_speed,-65,65
01:14:22,set_speed,0,0
01:14:22,stop,0,0
01:14:22,set_speed,0,0
01:14:22,stop,0,0
01:14:22,set_speed,55,55
01:14:22,forward,55,55
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,-65,65
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,55,55
01:14:23,forward,55,55
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,-65,65
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,55,55
01:14:23,forward,55,55
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,-65,65
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,55,55
01:14:23,forward,55,55
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:23,set_speed,-65,65
01:14:23,set_speed,0,0
01:14:23,stop,0,0
01:14:24,set_speed,0,0
01:14:24,stop,0,0
01:14:24,set_speed,55,55
01:14:24,forward,55,55
01:14:24,set_speed,0,0
01:14:24,stop,0,0
01:14:24,set_speed,-65,65
01:14:24,set_speed,-65,65
01:14:24,set_speed,-65,65
01:14:24,set_speed,-65,65
01:14:24,set_speed,0,0
01:14:24,stop,0,0
01:14:24,set_speed,0,0
01:14:24,stop,0,0
01:14:24,set_speed,55,55
01:14:24,forward,55,55
01:14:24,set_speed,0,0
01:14:24,stop,0,0
01:14:24,set_speed,-65,65
01:14:24,set_speed,0,0
01:14:24,stop,0,0
01:14:24,set_speed,0,0
01:14:24,stop,0,0
01:14:24,set_speed,55,55
01:14:24,forward,55,55
01:14:24,set_speed,0,0
01:14:24,stop,0,0
01:14:25,set_speed,-65,65
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:25,set_speed,55,55
01:14:25,forward,55,55
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:25,set_speed,-65,65
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:25,set_speed,55,55
01:14:25,forward,55,55
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:25,set_speed,-65,65
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:25,set_speed,55,55
01:14:25,forward,55,55
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:25,set_speed,-65,65
01:14:25,set_speed,0,0
01:14:25,stop,0,0
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:26,set_speed,55,55
01:14:26,forward,55,55
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:26,set_speed,-65,65
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:26,set_speed,55,55
01:14:26,forward,55,55
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:26,set_speed,-65,65
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:26,set_speed,55,55
01:14:26,forward,55,55
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:26,set_speed,-65,65
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:26,set_speed,0,0
01:14:26,stop,0,0
01:14:27,set_speed,55,55
01:14:27,forward,55,55
01:14:27,set_speed,0,0
01:14:27,stop,0,0
01:14:27,set_speed,-65,65
01:14:27,set_speed,0,0
01:14:27,stop,0,0
01:14:27,set_speed,0,0
01:14:27,stop,0,0
01:14:27,set_speed,55,55
01:14:27,forward,55,55
01:14:27,set_speed,0,0
01:14:27,stop,0,0
01:14:27,set_speed,-65,65
01:14:27,set_speed,0,0
01:14:27,stop,0,0
01:14:27,set_speed,0,0
01:14:27,stop,0,0
01:14:27,set_speed,55,55
01:14:27,forward,55,55
01:14:27,set_speed,0,0
01:14:27,stop,0,0
01:14:27,set_speed,-65,65
01:14:27,set_speed,0,0
01:14:27,stop,0,0
01:14:27,set_speed,0,0
01:14:27,stop,0,0
01:14:27,set_speed,55,55
01:14:27,forward,55,55
01:14:28,set_speed,0,0
01:14:28,stop,0,0
01:14:28,set_speed,-65,65
01:14:28,set_speed,0,0
01:14:28,stop,0,0
01:14:28,set_speed,0,0
01:14:28,stop,0,0
01:14:28,set_speed,55,55
01:14:28,forward,55,55
01:14:28,set_speed,0,0
01:14:28,stop,0,0
01:14:28,set_speed,-65,65
01:14:28,set_speed,0,0
01:14:28,stop,0,0
01:14:28,set_speed,0,0
01:14:28,stop,0,0
01:14:28,set_speed,55,55
01:14:28,forward,55,55
01:14:28,set_speed,0,0
01:14:28,stop,0,0
01:14:28,set_speed,-65,65
01:14:28,set_speed,0,0
01:14:28,stop,0,0
01:14:28,set_speed,0,0
01:14:28,stop,0,0
01:14:28,set_speed,55,55
01:14:28,forward,55,55
01:14:29,set_speed,0,0
01:14:29,stop,0,0
01:14:29,set_speed,-65,65
01:14:29,set_speed,0,0
01:14:29,stop,0,0
01:14:29,set_speed,0,0
01:14:29,stop,0,0
01:14:29,set_speed,55,55
01:14:29,forward,55,55
01:14:29,set_speed,0,0
01:14:29,stop,0,0
01:14:29,set_speed,-65,65
01:14:29,set_speed,0,0
01:14:29,stop,0,0
01:14:29,set_speed,0,0
01:14:29,stop,0,0
01:14:29,set_speed,55,55
01:14:29,forward,55,55
01:14:29,set_speed,0,0
01:14:29,stop,0,0
01:14:29,set_speed,-65,65
01:14:29,set_speed,0,0
01:14:29,stop,0,0
01:14:29,set_speed,25,65
01:14:29,set_speed,26,65
01:14:29,set_speed,26,65
01:14:29,set_speed,26,65
01:14:29,set_speed,29,65
01:14:29,set_speed,32,65
01:14:29,set_speed,34,65
01:14:29,set_speed,37,62
01:14:29,set_speed,39,60
01:14:29,set_speed,41,58
01:14:30,set_speed,43,56
01:14:30,set_speed,48,51
01:14:30,set_speed,55,44
01:14:30,set_speed,57,43
01:14:30,set_speed,58,41
01:14:30,set_speed,60,39
01:14:30,set_speed,60,39
01:14:30,set_speed,59,40
01:14:30,set_speed,56,43
01:14:30,set_speed,53,46
01:14:30,set_speed,51,48
01:14:31,set_speed,51,49
01:14:31,set_speed,49,50
01:14:31,set_speed,48,51
01:14:31,set_speed,46,54
01:14:31,set_speed,0,0
01:14:31,stop,0,0
01:14:31,set_speed,55,55
01:14:31,forward,55,55
01:14:31,set_speed,0,0
01:14:31,stop,0,0
01:14:31,set_speed,-65,65
01:14:31,set_speed,0,0
01:14:31,stop,0,0
01:14:31,set_speed,0,0
01:14:31,stop,0,0
01:14:31,set_speed,55,55
01:14:31,forward,55,55
01:14:31,set_speed,0,0
01:14:31,stop,0,0
01:14:31,set_speed,-65,65
01:14:31,set_speed,0,0
01:14:31,stop,0,0
