epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,437.218,0.78184,0.50326,0.97337,1.02626,0.96044,0.84,0.96747,0.76965,0.96044,0.84,0.96747,0.8725,0.7313,0.16634,0.97372,0.78526,0.0015248,0.0015248,0.0015248
50,445.442,0.87626,0.50755,1.01194,1.07923,0.83971,0.88,0.9334,0.76575,0.83971,0.88,0.9334,0.81659,0.72125,0.14953,2.36562,0.82853,0.0015149,0.0015149,0.0015149
51,454.834,0.72465,0.42832,0.87014,0.99764,0.86475,0.88,0.9464,0.7421,0.86475,0.88,0.9464,0.85282,0.61381,0.13485,1.75348,0.73956,0.001505,0.001505,0.001505
52,464.226,0.77705,0.44553,0.86527,1.0152,1,0.66486,0.88851,0.69005,0.75522,0.86421,0.91799,0.72661,0.62817,0.16838,0.84677,0.75649,0.0014951,0.0014951,0.0014951
53,472.216,0.76987,0.38871,0.88169,1.00834,0.94445,0.88,0.95241,0.78925,0.94445,0.88,0.95415,0.82274,0.62008,0.14711,1.23083,0.75569,0.0014852,0.0014852,0.0014852
54,481.684,0.75275,0.49675,0.85811,0.99206,0.91583,0.87077,0.93481,0.73289,0.91583,0.87077,0.93481,0.7562,0.61539,0.14947,1.02865,0.74704,0.0014753,0.0014753,0.0014753
55,491.017,0.78523,0.46011,0.86736,1.01591,0.83603,0.8,0.92095,0.75321,0.89451,0.8,0.92253,0.74471,0.79032,0.2229,2.42387,0.84629,0.0014654,0.0014654,0.0014654
56,499.063,0.73527,0.45042,0.88977,0.98907,0.77337,0.92,0.93635,0.7419,0.77337,0.92,0.92056,0.8174,0.67202,0.15063,1.18287,0.80113,0.0014555,0.0014555,0.0014555
57,508.621,0.73066,0.51897,0.80066,0.99153,0.76503,0.91187,0.88035,0.70768,0.76095,0.89158,0.89431,0.79539,0.61317,0.14806,1.76553,0.7586,0.0014456,0.0014456,0.0014456
58,518.117,0.72346,0.42466,0.78452,0.99796,0.80866,0.92,0.91488,0.74121,0.80866,0.92,0.93108,0.82115,0.57547,0.14811,1.23752,0.7188,0.0014357,0.0014357,0.0014357
59,526.194,0.76607,0.45724,0.96757,0.99542,0.89704,0.69751,0.80024,0.62584,0.89704,0.69751,0.81187,0.71972,0.78992,0.16741,1.84619,0.92107,0.0014258,0.0014258,0.0014258
60,535.588,0.74994,0.4494,0.8595,1.01227,0.67256,0.98618,0.88886,0.72784,0.67256,0.98618,0.8875,0.74641,0.65267,0.12627,2.67902,0.7336,0.0014159,0.0014159,0.0014159
61,544.928,0.73052,0.47233,0.8466,1.00163,0.85824,0.88,0.9427,0.78378,0.85824,0.88,0.9263,0.79235,0.59928,0.15787,1.06488,0.76103,0.001406,0.001406,0.001406
62,553.135,0.75624,0.48166,1.02885,0.99259,0.77876,0.92,0.92601,0.77132,0.8602,0.84,0.92881,0.80555,0.67814,0.15301,1.26835,0.77743,0.0013961,0.0013961,0.0013961
63,562.503,0.75835,0.44472,0.89226,0.99787,0.77532,0.76,0.85231,0.67136,0.77532,0.76,0.84427,0.748,0.73897,0.13723,1.65228,0.79138,0.0013862,0.0013862,0.0013862
64,571.604,0.7766,0.54532,0.82013,1.03212,0.82189,0.96,0.95468,0.80092,0.8666,0.88,0.94409,0.80307,0.59444,0.13472,1.03513,0.73419,0.0013763,0.0013763,0.0013763
65,579.902,0.79693,0.4668,0.83345,1.02963,0.95092,0.92,0.98,0.78306,0.95092,0.92,0.98,0.78861,0.6434,0.1326,0.98273,0.783,0.0013664,0.0013664,0.0013664
66,589.311,0.78994,0.4431,0.7515,1.0384,0.91484,0.85987,0.96017,0.78976,0.91484,0.85987,0.96017,0.82607,0.72612,0.16041,1.60264,0.79258,0.0013565,0.0013565,0.0013565
67,598.013,0.71147,0.46195,0.90554,0.99246,0.87364,0.92,0.95254,0.77405,0.87364,0.92,0.95254,0.85535,0.74475,0.15541,2.39917,0.8219,0.0013466,0.0013466,0.0013466
68,606.691,0.76196,0.52929,0.78495,1.0299,0.68968,1,0.88889,0.74427,0.68968,1,0.88889,0.76956,0.67824,0.12926,2.91877,0.78714,0.0013367,0.0013367,0.0013367
69,616.102,0.71039,0.46695,0.76341,0.99373,0.82015,0.91225,0.91582,0.75311,0.82015,0.91225,0.91582,0.78374,0.73378,0.4076,0.96101,0.78502,0.0013268,0.0013268,0.0013268
70,624.681,0.77598,0.43983,0.82397,1.00972,0.84839,0.8957,0.94545,0.80746,0.84839,0.8957,0.93474,0.83591,0.59571,0.15439,0.95796,0.74528,0.0013169,0.0013169,0.0013169
71,633.735,0.68399,0.50398,0.74174,0.98982,0.83519,0.88,0.94265,0.78125,0.83519,0.88,0.94265,0.82847,0.58332,0.13428,1.9769,0.75491,0.001307,0.001307,0.001307
72,643.254,0.70279,0.45341,0.82561,0.98076,0.91846,0.90153,0.9756,0.83269,0.91846,0.90153,0.9756,0.86574,0.61711,0.14425,1.31938,0.75339,0.0012971,0.0012971,0.0012971
73,651.864,0.68355,0.40222,0.76883,0.99293,0.66791,0.96552,0.88382,0.73546,0.81156,0.84,0.9211,0.81272,0.64066,0.1435,1.09306,0.74915,0.0012872,0.0012872,0.0012872
74,660.863,0.69914,0.42499,0.7528,0.98042,0.7467,0.96,0.9038,0.73285,0.85231,0.8,0.87601,0.78493,0.65211,0.11999,1.16597,0.75516,0.0012773,0.0012773,0.0012773
75,670.284,0.74247,0.36743,0.77337,1.00291,0.78748,0.92,0.91101,0.77614,0.78748,0.92,0.91311,0.80249,0.54729,0.15467,2.34658,0.73877,0.0012674,0.0012674,0.0012674
76,678.772,0.71623,0.3804,0.78112,0.99604,0.82367,0.96,0.9432,0.81633,0.82367,0.96,0.9432,0.83783,0.61915,0.14616,0.7376,0.7525,0.0012575,0.0012575,0.0012575
77,687.904,0.67691,0.39203,0.72729,0.98518,0.78794,0.96,0.95637,0.79144,0.95209,0.79515,0.92363,0.81321,0.65061,0.11627,1.03751,0.7524,0.0012476,0.0012476,0.0012476
78,697.593,0.73697,0.58902,0.75683,0.99352,0.91704,0.96,0.97418,0.79876,0.92304,0.95952,0.94688,0.84604,0.60718,0.12442,1.47483,0.78494,0.0012377,0.0012377,0.0012377
79,705.923,0.65246,0.4045,0.75628,0.96877,0.93576,0.88,0.96532,0.80839,0.93576,0.88,0.96532,0.85667,0.57474,0.13374,1.63176,0.73789,0.0012278,0.0012278,0.0012278
